,user_id,total_play_seconds,artist_name,genre_name,track_name
0,BF6EA5AF,92.851388,Marina Rei,pop,Musica
1,FB1E568E,282.981000,Stive Morgan,ambient,Love Planet
2,EF15C7BA,8.966000,unknown,dance,Loving Every Minute
3,82F52E69,193.776327,Rixton,pop,Me And My Broken Heart
4,4166D680,3.007000,Henry Hall & His Gleneagles Hotel Band,jazz,Home
5,F4F5677,0.100000,unknown,classicmetal,unknown
6,386FE1ED,211.880000,unknown,electronic,Riviera
7,A5E0D927,3.161000,Andrew Paul Woodworth,pop,The Name of This Next Song Is Called
8,E9E8A0CA,274.390000,Pillar Point,indie,Dove
9,D3DD8D00,8.836000,Steve Campbell,jazz,Morning Dew
10,596A4517,0.000000,David Civera,pop,Bye Bye
11,2E50EDF9,245.040000,Lumipa Beats,hiphop,Cludo
12,79D2876C,2.000000,Henning Wehland,pop,Räuber und Gendarm
13,96DA13A1,0.000000,Пётр Каледин,spoken,Пойти и не вернуться. Глава 1
14,4023830D,46.885000,ChinKong,dance,Live Life
15,AEAEF451,15.000000,Albatraoz,pop,General Zod
16,285648EF,0.100000,Pugs Atomz,dance,No Love
17,34811AC9,7.000000,Zak Moore,dance,Feel Good
18,892E9835,219.190863,Kendra Springer,new,Sonora
19,46EB28CD,254.862000,Nathalie Cardone,latin,Hasta Siempre
20,919EFA26,272.039167,Snowday,dance,Patterns
21,A76F54E1,72.389680,Swords,indie,I Didn't Understand
22,94E73621,8.109446,Montezuma's Revenge,extrememetal,My God Is a Bad Cop
23,13C442BF,217.000000,unknown,dance,Lightspeed
24,A6D6DBE7,208.822833,Музыка для изучения,instrumental,Инструментальная музыка
25,9C97ECE2,214.256327,A-Life,dance,Don't Hurt Me
26,DD08E7D1,27.164889,Peter Holzmann,classical,The Seasons Op. 37A (August The Harvest): VI...
27,22642B7C,28.873000,Heathers,alternative,Forget Me Knots
28,90004D45,3.253000,IRISHA,dance,You Lose
29,8DA2ADAC,161.000000,Tigerlily,dance,KICK BOOM
30,65608E7C,0.100000,Orinoco Haven,pop,Don't Dream It's Over
31,A7BA3C55,0.000000,unknown,latin,La Tortura
32,D8B3971,134.112625,unknown,rock,It's So Easy!
33,C087E463,9.200000,Yngnfrsh,hiphop,Future Baby Mama
34,CADC0B1A,49.000000,Sen-dla & Lotus,german,Nochmal Von Vorn
35,A6152E0B,254.640000,Merwan Rim,french,Sofia
36,29BBA33D,3.663453,Watchout! Theres Ghosts,rock,Never You
37,2F4F0630,0.100000,The Jeremy Spencer Band,pop,Cool Breeze
38,FD36A727,1.464589,The Rubix Cube's,soundtrack,"Girls Just Want to Have Fun (From ""Bioshock In..."
39,4D8D4370,248.000000,Luca Turilli's Rhapsody,metal,Il Cigno Nero
40,38C55DA7,63.291890,Мария Матвеева,electronic,Принцесса Укок
41,4AD7F9E2,0.100000,Lou Reed,rock,Ride Into the Sun
42,F1014BD5,202.135510,Emanuel Borok Cullan Bryant,classical,Love's Sorrow
43,EE908C06,84.519176,Echoes The Fall,pop,Eye Of The Tiger
44,C484328A,6.000000,Psycho 44,rock,All My Demons Have Distortion
45,1D1186AA,378.644898,Чёрный Кузнец,rock,Дубль один
